V1,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - Engineering,Collegiate Senator - Engineering,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus
ResponseID,Alejandra Melgoza - Independent,Austin Hechler - Campus United,Jose Magana - Peer Action Coalition (PAC),Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Ashcon Minoiefar - Campus United,Neha Nayak - Campus United,Stevan Abdalmalik - The Response,Victor Garcia - Peer Action Coalition (PAC),"Josephine ""Josie"" Ampaw - Independent",Cameron Demille - Peer Action Coalition (PAC),"Felipe ""Flippy"" Recinos Quant - The Response","Williams ""Willie"" Roman - The Response",Marjan Abubo - The Response,Alexander Giolito - Campus United,Tamar Barlev - Campus United,Jasmine Sandhu - Campus United,Kimberly Fuentes Carrillo - Peer Action Coalition (PAC),Steven Kwok - Peer Action Coalition (PAC),"Richard ""Rick"" Zierer - Peer Action Coalition (PAC)","Emanuel ""Manny"" Suarez Jimenez - Queer and Trans Student Body (QuTSB)",Ezra Kosviner - Campus United,"Jordan ""Robeman"" Mitchell - The Response",Adam Tabor - Peer Action Coalition (PAC),"Matthew ""Matt"" Greenberg - Campus United",Kelvin Campos - Peer Action Coalition (PAC),"Jonathan ""Jonathan Lopez"" Lopez - The Response",Jesse Velasquez - The Response,Leanna Lugo - The Response,Luvia Solis-Barraza - The Response,Maria Hoang - The Response,Reilly Hobson - Campus United,Bianca Fernandez - Campus United,Elias Jordan - Campus United,Cole Marting - Campus United,"Steven ""Digy"" Stovall - Campus United",Patrick Dohoney - Campus United,Rebecca Yadegari - Campus United,Batsheva Stoll - Campus United,"Izabella ""Izzy"" Kipnis - Campus United",Hannah Ellenhorn - Campus United,Ashley Selki - Campus United,Cole Hyatt - The Response,Joel Ruiz - Peer Action Coalition (PAC),Hien Mai - The Response,Sophia Dycaico - Peer Action Coalition (PAC),Sebastian Rubio Ruiz - Peer Action Coalition (PAC),Aaron Hendizadeh - Campus United,Marisol Hernandez - Peer Action Coalition (PAC),Juliano Pula - Peer Action Coalition (PAC),Lesly Silva - The Response,"Bryan ""Bryan"" Samayoa-Velasquez - Campus United","Kuvimbanashe ""Eddy"" Chikukwa - Peer Action Coalition (PAC)","Kou ""KO"" Collins - Peer Action Coalition (PAC)",Conor Collins - Peer Action Coalition (PAC),Unique Vance - The Response,"Yanira ""Jenny"" Flores - The Response",Deanna Nguyen - Campus United,"Sabrina ""Sabrina"" Divin - Peer Action Coalition (PAC)"
R_00000000000626,2,1,3,,,,,,,1,1,2,3,1,,,4,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,5,,3,,,
R_00000000000627,3,1,2,,,,,1,Natalie Jordan,1,1,2,3,1,,,4,,1,2,3,,,,,,,,,,14,,,,,4,5,6,1,7,8,9,10,11,12,13,,,,,,2,,,,,,,,,,,
R_00000000000628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000629,2,1,3,,,,,,,1,1,2,3,1,,,,,2,3,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000630,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,2,1,3,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,2,,,,,,,,,,,
R_00000000000631,3,1,2,,,,,,,1,,1,,1,,2,1,3,,,,,,,4,,,,,,4,5,6,7,8,,,,,,,,,14,,,1,12,2,13,11,,10,9,,,,,,,,,
R_00000000000632,3,1,2,,,,,,,1,1,2,3,1,,,,3,,1,4,2,,,,,,,,,5,,,,,,,1,,2,4,,,,,,,,,,,,,,,,,,,,,,
R_00000000000633,2,,1,1,Manushi Yapabandara,,,,,,,1,2,1,,3,4,1,,,,,2,,,,,,,,10,7,8,9,1,,,,,,,,,,,,6,13,2,4,5,,11,12,,,,,,,,,
R_00000000000634,1,3,2,,,,,,,1,3,1,2,1,,3,,2,,,,4,1,,,,,,,,4,7,8,9,6,,,14,,,,,,,,,2,10,5,11,12,,13,1,,,,,,,,,
R_00000000000635,2,3,1,,,,,,,1,2,1,3,1,,3,2,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000636,,1,,1,Natalie Jordan ,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,5,2,,,,,,,,,,,4,,,,,,,,,,,
R_00000000000637,3,1,2,,,,,,,1,1,,,1,4,,,,1,3,2,,,,,,,,,,,,,,9,,6,,5,2,10,,8,,4,,,,,1,,7,,,,,,,,,,,
R_00000000000638,1,3,2,1,Natalie Jordan,2,Manushi Yapabandara,,,1,3,1,2,1,,1,3,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,4,5,1,,,
R_00000000000639,2,1,3,,,,,,,1,1,3,2,1,,,,,3,1,2,,,,4,,,,,,,,,,,9,10,11,12,13,14,4,6,5,7,8,,,,1,,2,,,,,,,,,,,
R_00000000000640,1,2,3,,,,,,,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000641,2,1,3,1,,2,,,,1,1,3,2,1,,,,,2,3,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000642,2,1,3,,,,,,,1,1,2,3,,,,,,3,2,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,5,4,3,,,
R_00000000000643,2,1,3,,,,,,,1,1,3,2,1,,,,,3,1,2,,,,4,,,,,,,,,,,11,10,8,9,2,5,4,6,7,1,12,,,,,,13,,,,,,,,,,,
R_00000000000644,2,1,3,1,Natalie Jordan,,,,,1,1,,,1,,,,,,1,2,,,,,,,,,,,,,,,9,8,10,,12,11,1,7,6,5,4,,,,,,2,,,,,,,,,,,
R_00000000000645,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000646,1,3,2,,,,,,,,3,1,2,1,,2,3,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,4,5,1,,,
R_00000000000647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000648,2,1,3,1,Natalie Jordan ,,,,,1,1,2,3,1,,,4,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,1,3,,,
R_00000000000649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000650,,1,,1,Natalie Jordan,,,,,1,1,3,2,1,,,,,3,1,2,,,4,,,,,,,,,,,,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000651,1,3,2,,,,,,,1,3,1,2,1,,,,,,,,,,,,,,,2,1,4,5,6,7,2,,14,,,,,,,,,,1,13,8,9,10,,11,12,,,,,,,,,
R_00000000000652,3,1,2,,,,,,,1,1,3,2,1,,,4,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,,5,2,,,
R_00000000000653,,1,,,,,,1,Daniel Lifton,1,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,1,,,,,,,,,,,
R_00000000000654,2,3,1,,,,,,,1,3,1,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000000655,1,3,2,,,,,,,,3,1,2,1,,3,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,3,2,1,,,
R_00000000000656,3,1,2,1,austin hechler ,2,alejandra melgoza ,3,jose manana,1,1,3,2,1,,,,4,3,1,2,,,,,,,,,,,14,,,11,13,12,7,8,10,9,6,5,,1,2,,,,,,4,,,,,,,,,,,
R_00000000000657,2,1,3,,,,,,,1,1,3,2,1,,,,,3,2,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,3,2,,,,
R_00000000000658,,1,,,Natalie Jordan,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,
R_00000000000659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000660,1,2,3,,,,,,,1,1,3,2,1,,1,2,,,,,,,4,3,,,,,,9,,,,8,,14,10,,13,,,,2,5,7,6,4,1,,12,,11,,,,,,,,,,
R_00000000000661,2,3,1,1,Manushi Yapabandara,2,Natalie Jordan,,,1,2,3,1,1,2,,,3,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,1,2,3,,,
R_00000000000662,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,8,4,9,10,6,1,11,12,7,5,13,,,,,,2,,,,,,,,,,,
R_00000000000663,3,2,1,,,,,,,1,2,3,1,1,,4,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,1,4,,,
R_00000000000664,,1,,,,,,,,1,1,3,2,1,,,,,3,1,2,,4,,,,,,,,,,,,,12,11,10,9,8,7,6,5,,1,4,,,,,,2,,,,,,,,,,,
R_00000000000665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,
R_00000000000666,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,10,7,11,5,9,1,13,2,6,12,8,,,,,,4,,,,,,,,,,,
R_00000000000667,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,3,1,2,,,,,,,,,,,,,,,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000668,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000669,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000670,2,3,1,,,,,,,,3,1,2,1,3,,4,1,,,,,,,2,,,,,,8,7,6,4,5,,,,,,,,,,,,9,2,10,11,1,,12,13,,,,,,,,,
R_00000000000671,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,4,,,,2,1,5,,,,,,,,,,,,,,,,,,
R_00000000000672,3,1,2,,,,,,,,1,2,3,1,1,,,,3,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,4,1,,,,
R_00000000000673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000674,3,1,2,1,Natalie Jordan ,,,,,1,1,3,2,,,4,,,2,1,3,,,,,,,,,,,,,,,4,2,1,5,6,7,8,9,10,11,12,,,,,,13,14,,,,,,,,,,
R_00000000000675,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,3,1,2,,,,,,,,,,,,,,,13,2,6,7,4,1,8,9,10,11,5,,,,,,12,,,,,,,,,,,
R_00000000000676,2,1,3,1,Natalie Jordan,,,,,1,1,3,2,1,,,,,,,,,,,,,,,1,2,,,,,,6,5,13,12,4,1,11,10,9,8,7,,,,,,2,,,,,,,,,,,
R_00000000000677,1,3,2,1,Grayson Cornwell,2,Casey Hayes,3,Cthulhu,1,1,3,2,1,,,,,4,2,1,3,,,,,,,,,,,,,,,,5,,1,,2,,,,,,,4,,,,,,,,,,,,,,
R_00000000000678,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,2,1,3,,,,,,,,,,,,,,,8,7,1,5,4,2,6,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000000679,3,1,2,,,,,,,1,1,3,2,1,,,,,2,1,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3
R_00000000000680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000681,,1,,1,Natalie Jordan ,,,,,1,1,,,,,,,,3,1,2,,,,,,,,,,,,,,,10,11,8,9,13,7,5,6,12,4,1,,,,,,2,,,,,,,,,,,
R_00000000000682,1,3,2,,,,,,,1,3,1,2,1,2,1,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,3,4,,,,
R_00000000000683,2,1,3,,,,,,,1,1,3,2,,,,4,,2,1,3,,,,,,,,,,,,,,,5,,6,7,8,9,10,11,12,2,1,,,,,,4,,,,,,,,,,,
R_00000000000684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
R_00000000000685,3,1,2,,,,,,,1,1,2,3,1,,,4,3,,2,1,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000000686,2,1,3,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000687,2,1,3,1,Natalie Jordan,,,,,1,1,3,2,1,,,,,2,1,3,,4,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,,,,,,13,14,,,,,,,,,,
R_00000000000688,3,2,1,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000000689,,,,1,Natalie Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,4,,,,2,,,,,,,,,,,,,,,,,,
R_00000000000690,2,1,3,,,,,,,1,1,3,2,1,,,,,1,,,,2,,,,,,,,2,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000691,2,1,3,,,,,,,1,2,1,3,1,4,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,5,,,,
R_00000000000692,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,
R_00000000000693,3,1,2,1,Natalie Jordan,,,,,1,2,3,1,1,,4,,,1,2,,,,3,,,,,,,,,,,,8,,,1,2,4,5,,,,6,,9,7,10,11,12,13,14,,,,,,,,,
R_00000000000694,1,3,2,,,,,,,,,,1,1,,2,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,
R_00000000000695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000696,1,2,3,,,,,,,1,2,1,3,1,4,,,,,1,2,3,,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,,,,,,13,,14,,,,,,,,,
R_00000000000697,1,3,2,,,,,,,,3,2,1,1,,,3,4,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1
R_00000000000698,3,1,2,,,,,,,1,1,2,3,1,,,,4,3,2,1,,,,,,,,,,,,7,2,1,5,8,6,,4,9,11,,10,,,12,,,,,,14,13,,,,,,,,,
R_00000000000699,2,3,1,,,,,,,1,2,3,1,1,2,,,,,4,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,2,3,,,,
R_00000000000700,3,1,2,,,,,,,1,1,3,2,1,,,,,1,4,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000701,,,1,,,,,,,,,1,,,,3,1,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,1,,,
R_00000000000702,,1,,,Natalie Jordan,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,2,6,4,5,10,11,7,1,12,8,13,,,,,,9,,,,,,,,,,,
R_00000000000703,1,3,2,1,Manushi Yapabandara,,,,,1,3,1,2,1,1,,,,3,,,2,,,,,,,,,8,,,4,,9,,,,,,,,,10,14,2,13,5,12,6,1,11,7,,,,,,,,,
R_00000000000704,1,3,2,,,,,,,,3,1,2,1,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2
R_00000000000705,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,2,3,1,,,,,,,,,,,,,,,,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000000706,,,,2,Manushi Yapabandara,1,Samantha Richardson,,,1,1,2,3,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,
R_00000000000707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000708,3,1,2,,,,,,,1,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000709,1,3,2,,,,,,,,3,2,1,1,1,,,,,,,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,1,2,5,,,
R_00000000000710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
R_00000000000711,1,3,2,1,Manushi Yapabandara,,,,,1,2,1,3,1,,,3,1,,,,,2,,,,,,,,5,6,7,8,2,,,,,,,,4,,,,9,,1,,,,,,,,,,,,,,
R_00000000000712,3,1,2,,,,,,,1,1,3,2,1,,,4,,2,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,
R_00000000000713,2,1,3,1,Natalie Jordan,,,,,1,1,2,3,,,,4,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,5,4,,,,
R_00000000000714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000715,1,,2,,,,,,,,,1,2,1,,,,1,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
R_00000000000716,3,2,1,,,,,,,,2,1,3,1,,,,2,,3,1,,,,,,,,,,,,,,4,,,,,,,,5,,,2,1,,,,,,,,,,,,,,,,
R_00000000000717,3,2,1,,,,,,,1,1,3,2,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,2,,4,,,
R_00000000000718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000719,1,2,3,,,,,,,1,2,3,1,1,,,2,1,,,,3,,,4,,,,,,2,4,5,1,6,,14,,,,,,,,,,7,12,8,13,11,,10,9,,,,,,,,,
R_00000000000720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000721,,1,,,,,,,,1,1,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000722,,,,1,Natalie Jordan,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000000723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000724,2,1,3,1,Natalie Jordan ,,,,,1,1,2,3,1,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
R_00000000000725,3,1,2,,,,,,,,1,3,2,,4,,,,2,1,3,,,,,,,,,,,,,,,10,9,7,8,4,5,6,,1,2,,,,,,,11,,,,,,,,,,,
R_00000000000726,2,1,3,1,Natalie Jordan,,,,,1,1,2,3,1,,,,,2,3,1,,,,4,,,,,,,,,,,9,1,8,2,7,5,6,10,11,4,12,,,,,,13,,,,,,,,,,,
R_00000000000727,,1,,1,Natalie Jordan ,2,Natalie Jordan,3,Natalie Jordan,1,1,,,1,,,,,2,3,1,,,,,,,,,,,,,,,8,7,6,5,,1,2,4,,,9,,,,,,10,,,,,,,,,,,
R_00000000000728,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000730,3,1,2,,,,,,,1,1,3,2,1,,,,,3,1,2,,,4,,,,,,,,,,,,13,12,11,10,9,7,2,4,8,1,6,,14,,,,5,,,,,,,,,,,
R_00000000000731,1,3,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000732,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,2,3,1,,,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000000733,,1,,1,Natalie Jordan,2,Natalie Jordan,3,Natalie Jordan,1,1,,,,,,,,2,1,3,,,,,,,,,,,,,,,13,4,1,2,5,6,7,8,9,10,11,,,,,,12,,,,,,,,,,,
R_00000000000734,1,3,2,,,,,,,,3,1,2,1,,2,,1,,,,,,,3,,,,,,5,,,,1,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,
R_00000000000735,1,3,2,,,,,,,1,3,2,1,1,,4,2,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,1,2,5,,,
R_00000000000736,1,3,2,,,,,,,1,1,2,3,1,,,4,,,2,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,1,3,,,
R_00000000000737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000000738,2,1,3,1,Chris Valentin,3,Nishanth Palanisamy,2,Chris Valentin,1,1,2,3,1,,2,3,1,,,,,,,4,,,,,,1,2,4,5,6,9,10,11,12,13,14,,,,,,7,,8,,,,,,,,,,,,,,
R_00000000000739,3,1,2,1,Natalie Jordan,,,,,1,1,2,3,,,3,4,,,1,,,2,,,,,,,,,2,,,,4,5,6,7,8,9,10,1,11,12,13,,,,,,14,,,,,,,,,,,
R_00000000000740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000741,2,1,3,,,,,,,1,2,1,3,1,,,,,3,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,4,1,,,,
R_00000000000742,3,1,2,1,Manushi Yapabandara,,,,,1,2,1,3,1,4,,,,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2
R_00000000000743,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,1,,2,,,,,,,,,,,,,,,5,,6,,2,1,,,,,,,,,,,4,,,,,,,,,,,
R_00000000000744,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000745,,1,,,Natalie Jordan ,,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,4,,,,,,,,,2,,,,,,,,,,,
R_00000000000746,1,2,3,,,,,,,,3,1,2,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,5,3,,,
R_00000000000747,2,1,3,,,,,,,1,1,3,2,1,,,,,1,2,3,,,,4,,,,,,,,,,,2,4,5,6,7,1,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000000748,3,2,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000750,2,3,1,,,,,,,1,3,1,2,1,,3,2,1,,,,,4,,,,,,,,2,4,5,6,7,,,,,,,,,,,,1,9,8,10,11,14,12,13,,,,,,,,,
R_00000000000751,3,2,1,,,,,,,1,1,2,3,1,,3,,,1,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,,2,,,
R_00000000000752,,1,2,,,,,,,,1,,,,,,,,1,,2,,,,,,,,,,,,,,,4,5,,,,6,2,,7,1,8,,,,,,,,,,,,,,,,,
R_00000000000753,1,3,2,1,Manushi Yapandabara,2,Natalie Jordan,,,1,3,1,2,1,,2,3,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,4,2,,,
R_00000000000754,3,1,2,,,,,,,1,1,3,2,,,,,,2,3,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
R_00000000000755,,,,,,,,,,,,1,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000756,,,1,1,Manushi Yapabandara,,,,,1,,,1,1,4,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_00000000000757,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,2,1,3,,,4,,,,,,,,,,,,4,,,1,,,,,,2,,,,,,,,,,,,,,,,,,
R_00000000000758,2,3,1,,,,,,,1,3,2,1,1,,3,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,,,,,
R_00000000000759,1,,,,,,,,,,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000760,3,1,2,,,,,,,1,1,3,2,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000000761,3,1,2,,,,,,,1,2,1,3,,,,,,1,4,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,2,,,,
