ResponseId,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
Response ID,Brooke Kopel - Campus United,"Justice ""For All"" Dumlao - Isla Vista Party",Anthony Pimentel - Campus United,Steven Ho - Isla Vista Party,Jeike Meijer - Isla Vista Party,Sophia Dycaico - Campus United,Madeline Loudon - Campus United,Mayela Morales - Isla Vista Party,"Grecia ""grec"" Martinez - Independent",Rose Ettleson - Independent,Alex Funk - Campus United,"Allison ""Alli"" Adam - Campus United",Emily Quach - Campus United,Gabriella Shofet - Campus United,"Joshua ""Josh"" Takeuchi - Campus United","Ricardo ""Ricky"" Uribe - Isla Vista Party","Xochitl ""Xo"" Briseno - Isla Vista Party",Adam Chohan - Campus United,"Alexander ""Alex"" Young - Campus United","Alexis ""Lexi"" Bettencourt - Campus United","Amy ""Amy"" Zhou - Campus United",Andrew Nguyen - Campus United,Ashley Ng - Isla Vista Party,Carla Cernat - Campus United,Christian Ornelas - Isla Vista Party,Dallin Mello - Isla Vista Party,"Diego ""D"" Cobos - Isla Vista Party","Gabriel ""Gabe"" Etaat - Isla Vista Party","Jalia ""Jolly"" Carlton-Carew - Isla Vista Party",Jasmine Palmerin - Isla Vista Party,"Mordi ""Mordi"" Shadpour - Campus United",Nicole Estess - Campus United,"Rafael ""Rafa"" Cornejo - Isla Vista Party",Ryan Clark - Isla Vista Party,"Salvador ""Sal"" Hernandez Arellano - Isla Vista Party",Sarah Eizner - Campus United,Sydney Karmes-Wainer - Campus United,Yara Khamis - Campus United,Zachary Zeising - Campus United,Diego Reyes - Isla Vista Party,Eric Moon - Campus United,"Joel ""Joey"" Medina - Isla Vista Party",Lea Toubian - Campus United,Melissa Perez - Isla Vista Party,Sam Melamed - Campus United,Yasamin Salari - Isla Vista Party,Yash Nagpal - Campus United,Zion Solomon - Isla Vista Party,Anthony Hernandez - Campus United,Vanessa Maldonado - Isla Vista Party,Juan Ornelas - Isla Vista Party,Nima Bencohen - Campus United
R_00000000000040,1,,1,,,1,1,,2,1,,4,3,1,2,,,2,8,4,1,7,,6,,,,,,,10,3,,,,9,11,5,12,,,,,,,,,,,,,
R_00000000000041,2,1,2,1,1,2,2,1,1,2,,,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,4,,1,,,,
R_00000000000042,1,,1,,,1,1,,,1,,2,1,4,3,,,3,11,5,1,2,,6,,,,,,,9,10,,,,12,4,7,8,,,,,,,,,,,,,1
R_00000000000043,2,1,2,1,1,2,2,1,1,2,,4,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000044,1,2,1,2,2,1,1,2,1,2,,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
R_00000000000045,2,1,1,2,2,1,2,1,2,1,,4,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,3,,,,1,,,,
R_00000000000046,1,2,1,2,2,1,1,2,2,1,,1,2,4,3,,,8,5,7,10,,,6,,,,,,,3,1,,,,2,4,,9,,,,,,,,,,,,,
R_00000000000047,,1,,1,1,,,1,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,5,,4,,2,,3,,1,,,,
R_00000000000048,2,1,2,1,1,2,2,1,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,4,,5,,1,,3,,2,,,,
R_00000000000049,1,2,2,1,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000000050,1,2,1,2,2,1,1,2,,,,2,1,3,4,,,6,12,7,5,3,,2,,,,,,,1,8,,,,11,4,9,10,,,,,,,,,,,,,
R_00000000000051,2,1,2,1,1,2,2,1,2,1,,,,,,2,1,,,,,,1,,10,2,6,9,3,7,,,8,4,5,,,,,,,,,,,,,,,,,
R_00000000000052,1,,1,,,1,1,,1,,,3,1,4,2,,,5,2,3,1,8,,10,,,,,,,11,4,,,,12,9,6,7,,,,,,,,,,,,,
R_00000000000053,,1,,1,1,,,1,1,2,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000054,2,1,2,1,1,2,2,1,1,2,,,,,3,2,1,,,,,,5,,6,10,3,2,7,1,,,4,9,8,,,,,,,,,,,,,,,,,
R_00000000000055,,,1,,,,,,,1,,,,,,,,,,2,,,,,,3,,,,,4,,,,,,,1,,,,,,,,,,,,,,
R_00000000000056,1,,1,,,1,1,,,1,,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
R_00000000000057,1,2,1,2,2,1,1,2,1,2,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,,2,,1,4,,,,
R_00000000000058,1,,1,,,1,1,,,1,,4,1,3,2,,,5,2,3,4,7,,12,,,,,,,8,1,,,,10,9,6,11,,,,,,,,,,,,,
R_00000000000059,1,2,1,2,2,1,1,2,2,1,,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,1,,4,,,,,
R_00000000000060,2,1,2,1,1,2,2,1,1,2,,,3,4,,2,1,,,,,,9,,2,3,1,6,7,10,,8,5,4,11,12,,,,,,,,,,,,,,,,
R_00000000000061,,1,,1,1,,,1,1,,,4,,3,,1,2,,,,,,,,4,,1,,,6,,,3,5,2,,,,,,,,,,,,,,,,,
R_00000000000062,1,2,1,2,2,1,1,2,2,1,,4,2,1,3,,,1,3,5,6,9,10,7,12,,,,,,4,,11,,,,8,2,,,,,,,,,,,,,,
R_00000000000063,1,,1,,,1,1,,,1,,4,1,2,3,,,9,5,1,2,3,,7,,,,,,,10,6,,,,12,4,8,11,,,,,,,,,,,,,
R_00000000000064,1,2,1,2,2,1,1,2,1,2,,,4,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,1,5,2,,3,,,,,
R_00000000000065,1,2,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000066,1,,1,,,1,1,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,1,,3,,,,,
R_00000000000067,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000000068,1,,1,,,1,1,,,1,,1,3,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000000069,2,1,2,1,1,2,2,1,2,1,,3,1,,2,,4,,,,,,,,,,,,,,,,4,1,3,,,2,,,,,,,,,,,,,,
R_00000000000070,2,1,2,1,1,2,2,1,1,2,,,4,3,,2,1,,,,,,6,11,2,5,10,9,8,1,,12,3,4,7,,,,,,,,,,,,,,,,1,2
R_00000000000071,1,,1,,,1,1,,,1,,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000000072,1,,1,,,1,1,,,1,,1,3,2,4,,,11,6,9,4,1,,3,,,,,,,7,10,,,,5,12,2,8,,,,,,,,,,,,,
R_00000000000073,1,2,1,2,2,1,1,2,2,1,,1,3,2,4,,,6,8,3,2,9,,11,,,,,,,10,4,,,,12,1,5,7,,,,,,,,,,,,,
R_00000000000074,1,,1,,,1,1,,,1,,2,1,4,3,,,11,4,12,7,8,,6,,,,,,,10,2,,,,1,9,3,5,,,,,,,,,,,,,
R_00000000000075,2,1,2,1,2,1,2,1,1,2,,3,,4,,2,1,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,
R_00000000000076,,1,,1,1,,,1,,1,,,,,,2,1,,,,,,3,,2,1,7,,6,5,,,4,,8,,,,,,,,,,,,,,,,1,
R_00000000000077,1,,1,,,1,1,,,1,,2,4,3,1,,,5,4,9,8,7,,10,,,,,,,6,2,,,,1,3,11,12,,,,,,,,,,,,,
R_00000000000078,1,2,1,2,2,1,1,2,2,1,,3,2,1,,4,,10,3,,4,2,11,6,5,,7,,,,,8,9,,12,,,1,,,,,,,,,,,,,,
R_00000000000079,1,,1,,,1,1,,,,,1,3,2,4,,,12,9,7,10,1,,3,,,,,,,11,4,,,,8,5,2,6,,,,,,,,,,,,,
R_00000000000080,1,2,1,2,2,1,1,2,2,1,,1,2,3,4,,,1,7,12,10,8,,2,,,,,,,11,9,,,,6,5,4,3,,,,,,,,,,,,,
