ResponseId,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
Response ID,Brooke Kopel - Campus United,"Justice ""For All"" Dumlao - Isla Vista Party",Anthony Pimentel - Campus United,Steven Ho - Isla Vista Party,Jeike Meijer - Isla Vista Party,Sophia Dycaico - Campus United,Madeline Loudon - Campus United,Mayela Morales - Isla Vista Party,"Grecia ""grec"" Martinez - Independent",Rose Ettleson - Independent,Alex Funk - Campus United,"Allison ""Alli"" Adam - Campus United",Emily Quach - Campus United,Gabriella Shofet - Campus United,"Joshua ""Josh"" Takeuchi - Campus United","Ricardo ""Ricky"" Uribe - Isla Vista Party","Xochitl ""Xo"" Briseno - Isla Vista Party",Adam Chohan - Campus United,"Alexander ""Alex"" Young - Campus United","Alexis ""Lexi"" Bettencourt - Campus United","Amy ""Amy"" Zhou - Campus United",Andrew Nguyen - Campus United,Ashley Ng - Isla Vista Party,Carla Cernat - Campus United,Christian Ornelas - Isla Vista Party,Dallin Mello - Isla Vista Party,"Diego ""D"" Cobos - Isla Vista Party","Gabriel ""Gabe"" Etaat - Isla Vista Party","Jalia ""Jolly"" Carlton-Carew - Isla Vista Party",Jasmine Palmerin - Isla Vista Party,"Mordi ""Mordi"" Shadpour - Campus United",Nicole Estess - Campus United,"Rafael ""Rafa"" Cornejo - Isla Vista Party",Ryan Clark - Isla Vista Party,"Salvador ""Sal"" Hernandez Arellano - Isla Vista Party",Sarah Eizner - Campus United,Sydney Karmes-Wainer - Campus United,Yara Khamis - Campus United,Zachary Zeising - Campus United,Diego Reyes - Isla Vista Party,Eric Moon - Campus United,"Joel ""Joey"" Medina - Isla Vista Party",Lea Toubian - Campus United,Melissa Perez - Isla Vista Party,Sam Melamed - Campus United,Yasamin Salari - Isla Vista Party,Yash Nagpal - Campus United,Zion Solomon - Isla Vista Party,Anthony Hernandez - Campus United,Vanessa Maldonado - Isla Vista Party,Juan Ornelas - Isla Vista Party,Nima Bencohen - Campus United
R_00000000003357,1,2,1,2,2,1,1,2,2,1,,2,,1,4,3,,,,,11,4,6,,5,,10,,12,7,1,9,8,,,,3,2,,,,,,,,,,,,,,
R_00000000003358,2,1,1,2,2,1,2,1,1,2,,,,1,4,2,3,6,,4,11,5,,10,,12,3,,,2,8,,1,,9,,,,7,,,,,,,,,,,,1,2
R_00000000003359,2,1,2,1,1,2,2,1,1,2,,3,4,,,2,1,,11,,,,4,,1,6,8,10,2,7,,,3,5,9,,12,,,,,,,,,,,,,,,
R_00000000003360,,1,,1,1,,,1,1,,,3,,4,,1,2,,,,,,7,,3,8,4,5,2,6,,,1,10,9,,,,,,,,,,,,,,,,,
R_00000000003361,2,1,2,1,1,2,2,1,1,2,,2,4,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,
R_00000000003362,2,1,2,1,1,2,2,1,1,2,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003363,2,1,2,1,1,2,2,1,1,2,,4,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,,2,,4,,5,,1,,,,
R_00000000003364,2,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003365,1,2,1,2,2,1,1,2,2,1,,2,3,4,1,,,5,7,12,4,1,,3,,,,,,,6,9,,,,8,2,10,11,,,,,,,,,,,,,
R_00000000003366,1,,1,,,1,1,,1,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
R_00000000003367,2,1,2,1,1,2,2,1,1,2,,,3,4,,2,1,12,,,,,3,,4,10,7,6,5,1,,11,8,9,2,,,,,,,,,,,,,,,,,
R_00000000003368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003369,2,1,2,1,1,2,2,1,1,2,,4,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003370,2,1,2,1,1,2,2,1,2,1,,4,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003371,1,2,1,2,1,2,2,1,1,2,,,1,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,,2,,,,,,
R_00000000003372,,1,,1,1,,,1,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,5,,2,,3,,4,,1,,,,
R_00000000003373,2,1,2,1,1,2,2,1,1,2,,3,,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,4,5,,,,3,2,,,,,
R_00000000003374,2,1,2,1,1,2,2,1,2,1,,,1,,4,3,2,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000003375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003376,2,1,1,2,2,1,2,1,1,2,,,4,,3,1,2,,,10,,9,1,,11,5,,12,8,7,,,6,2,,,,4,3,,,,,,,,,,,,,
R_00000000003377,2,1,2,1,1,2,2,1,2,1,,4,3,,,2,1,,,,,,3,,8,6,2,5,1,7,,,9,4,10,,,,,,,,,,,,,,,,,
R_00000000003378,1,2,1,2,2,1,1,2,1,2,,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,3,,1,5,,,,
R_00000000003379,,,2,1,1,2,2,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,2,,5,,3,,4,,1,,,,
R_00000000003380,1,2,1,2,2,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,,2,,4,,,,,
R_00000000003381,1,2,1,2,2,1,1,2,1,2,,1,3,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000003382,2,1,1,2,1,2,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003383,1,2,1,2,2,1,1,2,2,1,,1,3,2,4,,,12,8,5,10,9,,3,,,,,,,2,6,,,,7,1,4,11,,,,,,,,,,,,,
R_00000000003384,1,2,1,2,2,1,1,2,2,1,,,,,,,,,6,7,12,2,10,4,,,,,,,1,,8,9,,5,3,11,,,,,,,,,,,,,,
R_00000000003385,2,1,2,1,1,2,2,1,1,2,,4,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003386,1,2,2,1,2,1,1,2,1,2,,,2,1,,4,3,,,,,,,,,,,,,,,,,,,,,,,,1,4,,3,,5,,2,,,,
R_00000000003387,1,,1,,,1,1,,,1,,1,2,4,3,,,5,11,2,6,7,,3,,,,,,,8,9,,,,4,1,10,12,,,,,,,,,,,,,
R_00000000003388,2,1,1,2,1,2,2,1,2,1,,3,1,2,,4,,,3,,4,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000003389,1,,1,,,1,1,,,1,,2,1,3,4,,,12,3,1,2,6,,4,,,,,,,7,8,,,,11,5,10,9,,,,,,,,,,,,,
R_00000000003390,2,1,2,1,1,2,1,2,2,1,,,3,4,,1,2,,,,,,,,,,,,,,,,,,,,,,,2,,3,,4,,,,1,,,,
R_00000000003391,1,2,1,2,1,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,4,5,,,,,
R_00000000003392,2,1,2,1,1,2,2,1,,1,,,,3,4,1,2,,,,,12,1,,10,6,2,9,4,5,11,,7,3,8,,,,,,,,,,,,,,,,,
R_00000000003393,2,1,2,1,1,2,2,1,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003395,2,1,2,1,2,1,2,1,1,2,,,,4,3,2,1,11,,12,,,7,,5,1,8,10,3,9,,,6,4,2,,,,,,,,,,,,,,,,,
R_00000000003396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003398,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003399,2,1,2,1,1,2,2,1,1,2,,,,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,5,,2,,3,,4,,,,
R_00000000003400,,1,2,1,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003401,2,1,2,1,1,2,2,1,1,2,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,
R_00000000003402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003403,1,2,1,2,2,1,1,2,2,1,,1,3,4,2,,,2,3,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003404,1,2,2,1,1,2,2,1,1,2,,2,4,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,1,5,2,,,,
R_00000000003405,1,2,1,2,2,1,2,1,2,1,,1,3,4,2,,,10,12,11,4,6,7,5,,,,,,,2,3,,,,1,8,,9,,,,,,,,,,,,,
R_00000000003406,1,2,1,2,2,1,1,2,2,1,,1,2,3,4,,,8,12,2,3,9,,5,,,,,,,10,1,,,,4,6,7,11,,,,,,,,,,,,,
R_00000000003407,1,2,1,2,2,1,1,2,2,1,,2,3,1,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000003408,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000003409,2,1,2,1,1,2,2,1,1,2,,,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,4,,5,,3,,1,,2,,,,
R_00000000003410,1,,1,,,1,1,,,1,,3,4,1,2,,,8,4,9,7,10,,3,,,,,,,1,11,,,,12,2,5,6,,,,,,,,,,,,,
R_00000000003411,2,1,1,2,1,2,1,2,2,1,,3,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,1,4,3,,,,
R_00000000003412,2,1,2,1,1,2,2,1,,,,,3,4,,2,1,,,,,,1,,2,5,6,7,,,,,8,3,4,,,,,,,,,,,,,,,,1,2
R_00000000003413,1,,1,,,1,1,,,1,,1,,2,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000003414,2,1,2,1,1,2,2,1,1,2,,,,,,2,1,,,,,,8,,9,6,7,4,5,2,,,1,3,10,,,,,,,,,,,,,,,,,
R_00000000003415,2,1,1,2,1,2,2,1,2,1,,3,,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,,4,,1,,5,,,,
R_00000000003416,1,2,1,2,1,2,2,1,1,2,,3,,2,,4,1,6,,11,3,8,10,,,,,,,5,2,7,1,4,,9,,,12,,,,,,,,,,,,,
R_00000000003417,,1,,1,1,,,1,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,3,,1,,,,
R_00000000003418,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
R_00000000003419,,1,,1,2,1,2,1,1,2,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000003420,,,,,,,,,,,,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003421,2,1,2,1,1,2,2,1,1,2,,,3,,4,2,1,11,,,,,8,12,2,9,5,4,6,7,10,,,1,3,,,,,,,,,,,,,,,,,
R_00000000003422,1,2,1,2,,,,,2,1,,3,2,1,,,,1,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
R_00000000003423,1,2,1,2,2,1,1,2,1,2,,1,3,4,2,,,,4,5,10,12,,8,,,,9,,,,,,1,6,2,3,7,11,,,,,,,,,,,,,
R_00000000003424,2,1,2,1,1,2,2,1,2,1,1,,,,,,,9,,,3,11,,,5,,4,6,8,10,2,,1,,12,,,,7,,,,,,,,,,,,,
R_00000000003425,,,2,1,1,2,2,1,1,2,,4,3,,,2,1,,,,,,6,,1,7,8,4,9,3,,,2,10,5,,,,,,,,,,,,,,,,,
R_00000000003426,1,2,2,1,2,1,1,2,2,1,,1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,3,,2,4,,,,
R_00000000003427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003428,2,1,2,1,1,2,2,1,2,1,,4,,3,,2,1,,,,,,9,,6,7,4,10,2,3,,,1,5,8,,,,,,,,,,,,,,,,,
R_00000000003429,1,2,,,1,2,2,1,2,1,,,2,,,1,3,,4,1,,2,,11,7,,,,,8,,3,10,6,,9,,,5,,,,,,,,,,,,,
R_00000000003430,1,2,1,2,1,2,2,1,1,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,4,1,,2,,5,,,,
R_00000000003431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003432,1,2,2,1,2,1,2,1,1,2,,,,,,,,,12,2,,6,9,5,,10,4,,,11,7,,,,,3,,1,8,,,,,,,,,,,,,
R_00000000003433,2,1,1,2,1,2,2,1,1,2,,,,,2,,1,,,,,,6,,8,9,7,4,5,1,,,2,,3,,,,,,,,,,,,,,,,,
R_00000000003434,,,,,2,1,,,1,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003435,1,2,2,1,2,1,2,1,2,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003436,,1,,1,1,,,1,1,,,,,,,2,1,,,,,,5,,4,8,1,10,6,2,,,3,7,9,,,,,,,,,,,,,,,,,
R_00000000003437,2,1,2,1,2,1,1,2,2,1,,2,,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,1,5,,4,,3,,2,,,,,
R_00000000003438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003439,2,1,2,1,1,2,2,1,1,2,,,,,3,2,1,,,,,,9,,8,2,7,6,1,5,,,4,10,3,,,,,,,,,,,,,,,,,
R_00000000003440,1,,1,,,1,1,,,1,,,1,,,,,5,4,,1,7,,,,,,,,,,3,,,,2,6,,,,,,,,,,,,,,,1
R_00000000003441,2,1,2,1,1,2,2,1,2,1,,4,3,,,1,2,,,,,,4,,,,5,3,,,,,,1,2,,,,,,,,,,,,,,,,,
R_00000000003442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003443,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003444,2,1,2,1,1,2,2,1,1,2,,4,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2
R_00000000003445,,1,,1,,1,1,,1,,,,2,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,,5,,4,,3,,,,
R_00000000003446,2,1,2,1,1,2,2,1,1,2,,,,3,4,2,1,,,,,11,9,12,4,7,6,5,3,1,,,8,10,2,,,,,,,,,,,,,,,,,
R_00000000003447,1,2,1,2,1,2,1,2,2,1,,4,1,2,3,,,,1,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,1,
R_00000000003448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003449,2,1,2,1,1,2,2,1,1,2,,,4,3,,1,2,,,,,11,8,,4,,1,9,7,3,10,12,5,2,6,,,,,,,,,,,,,,,,1,2
R_00000000003450,2,1,1,2,1,,1,2,2,1,,,3,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003451,,1,,1,1,,,1,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,,5,,2,,4,,1,,,,
R_00000000003452,2,1,2,1,2,1,2,1,1,2,,3,4,,,2,1,,,,,,2,,10,6,7,5,8,3,,,1,9,4,,,,,,,,,,,,,,,,,
R_00000000003453,2,1,2,1,1,2,2,1,1,2,,,,3,4,2,1,9,,,,,4,,5,2,12,8,3,1,7,10,6,,,,,11,,,,,,,,,,,,,,
R_00000000003454,2,1,2,1,1,2,2,1,2,1,,,,2,4,3,1,9,,,,,4,,5,1,12,7,3,2,8,10,6,,,,,11,,,,,,,,,,,,,,
R_00000000003455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000003456,2,1,2,1,,,,,2,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003457,,1,,1,1,,,1,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
R_00000000003458,2,1,2,1,1,2,2,1,,,,,,,,1,2,,,,,,,,,,,3,4,1,,,,,2,,,,,,,,,,,,,,,,,
R_00000000003459,2,1,2,1,1,2,2,1,1,2,,,4,,3,1,2,,,,12,,6,,9,2,8,7,4,5,,11,1,3,10,,,,,,,,,,,,,,,,,
R_00000000003460,,1,,1,1,,,1,1,,,,,,,2,1,,,,,,9,,4,8,1,3,10,7,,,5,2,6,,,,,,,,,,,,,,,,,
R_00000000003461,1,2,1,2,2,1,1,2,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000003462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003463,2,1,2,1,1,2,2,1,1,2,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000003464,1,2,1,2,2,1,1,2,2,1,,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,3,,1,2,,,,,
R_00000000003465,2,1,2,1,1,2,1,2,1,2,,1,3,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
R_00000000003466,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003468,1,2,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
R_00000000003470,1,2,1,2,2,1,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,3,,,4,,,,,
R_00000000003471,1,2,2,1,1,2,2,1,1,2,,3,2,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,4,1,5,,,,
R_00000000003472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003473,1,2,1,2,2,1,1,2,2,1,1,,,,,,,5,2,10,9,7,,6,,,,,,,1,11,,,,4,3,12,8,,,,,,,,,,,,,
R_00000000003474,2,1,2,1,2,1,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000003475,,1,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
R_00000000003476,1,2,1,2,2,1,1,2,1,2,,,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1
R_00000000003477,2,1,2,1,1,2,2,1,1,2,,,,,,2,1,,,,,,8,,3,4,5,6,2,1,12,,10,7,9,11,,,,,,,,,,,,,,,,
R_00000000003478,1,2,1,2,2,1,1,2,1,2,,2,4,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003479,1,2,1,2,2,1,1,2,1,2,,2,3,4,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003480,1,,1,,,1,1,2,1,2,,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,4,5,2,,,,,
R_00000000003481,2,1,2,1,1,2,2,1,1,2,,,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000003482,2,1,2,1,1,2,2,1,1,2,,,4,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,,2,,4,,5,,1,,,,
R_00000000003483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003484,2,1,2,1,1,2,2,1,1,2,,,3,4,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000003485,1,2,2,1,1,2,2,1,1,2,,1,2,4,,,3,,,6,,,,,,,8,4,,,3,,7,,5,,2,1,,,,,,,,,,,,,,
R_00000000003486,2,1,2,1,1,2,1,2,2,1,,1,,,2,3,4,8,7,,,4,12,,,,11,2,6,,9,5,,3,,1,10,,,,,,,,,,,,,,,
R_00000000003487,2,1,2,1,1,2,2,1,1,2,,,,,,1,2,,,,,,4,,,,3,,,,,,2,,1,,,,,,,,,,,,,,,,,
R_00000000003488,2,1,2,1,1,2,2,1,2,1,,,4,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,4,,3,,5,,1,,,,
R_00000000003489,2,1,1,2,1,2,1,2,1,2,,4,3,2,,,1,,,,,,,,,1,,,,3,,,2,,,,,,,,,,,,,,,,,,,
R_00000000003490,2,1,1,2,1,2,2,1,1,2,,,4,3,,2,1,,,,,12,5,2,3,8,11,10,6,7,,,4,9,1,,,,,,,,,,,,,,,,,
R_00000000003491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003492,2,1,2,1,1,2,2,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003493,1,2,1,2,2,1,1,2,,,,4,1,3,2,,,8,11,4,10,2,,3,,,,,,,9,5,,,,1,6,12,7,,,,,,,,,,,,2,1
R_00000000003494,2,1,2,1,1,2,2,1,2,1,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003495,2,1,2,1,1,2,2,1,1,2,,,,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,4,,3,,2,,5,,1,,,,
R_00000000003496,2,1,2,1,1,2,2,1,1,2,,3,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003498,2,1,1,2,1,2,2,1,1,2,,,3,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,5,,1,,3,,4,,,,
R_00000000003499,1,,1,,,1,1,,,,,2,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,2,,3,,,,,
R_00000000003500,2,1,1,2,2,1,1,2,2,1,,4,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,3,4,5,,1,,,,,
R_00000000003501,1,2,2,1,1,2,2,1,1,2,,3,2,1,4,,,,8,,1,2,,5,7,6,,,,11,3,,12,4,,10,9,,,,,,,,,,,,,,,
R_00000000003502,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000003503,,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,5,,4,,1,,,,
R_00000000003504,1,2,1,2,2,1,1,2,1,2,,2,3,4,1,,,9,5,4,7,12,,2,,,,,,,1,10,,,,8,3,6,11,,,,,,,,,,,,,
R_00000000003505,2,1,2,1,1,2,2,1,1,2,,3,1,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,5,3,,2,,,,
R_00000000003506,1,2,2,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
R_00000000003507,2,1,1,2,2,1,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003508,2,1,2,1,1,2,2,1,1,2,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,,4,,5,,3,,,,
R_00000000003509,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003510,2,1,1,2,1,2,2,1,1,2,,2,,4,3,,1,5,2,1,10,,,,7,,9,,3,,12,,11,6,,8,,,4,,,,,,,,,,,,,
R_00000000003511,1,2,1,2,2,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003512,2,1,2,1,1,2,2,1,2,1,,,3,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,5,,3,,2,,1,,4,,,,
R_00000000003513,1,2,1,2,,1,1,2,1,2,,2,1,,,4,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_00000000003514,1,2,2,1,1,2,2,1,1,2,,3,2,1,,,4,9,,,,,,5,7,,1,11,2,,,10,3,,6,4,8,,12,,,,,,,,,,,,,
R_00000000003515,2,1,2,1,2,1,2,1,1,2,1,,,,,,,4,,,9,6,8,,5,,,,,,2,,7,,1,,,3,,,,,,,,,,,,,,
R_00000000003516,1,2,2,1,1,2,1,2,1,2,,2,1,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,3,2,,,,,
R_00000000003517,1,2,2,1,2,1,2,1,1,2,,4,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2
R_00000000003518,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000003519,2,1,2,1,1,2,2,1,1,2,,,,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,4,,3,,5,,2,,1,,,,
R_00000000003520,1,2,1,2,2,1,1,2,2,1,,1,3,4,2,,,2,5,3,12,11,,7,,,,6,,,,1,,,,8,10,9,4,,,,,,,,,,,,,
